Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
41916,Extra Dots - Series 2,DOTS,109,3.99,3.44,2020,Ages_6+,NA,NA,Foil pack,NA,6,Retail,Small
41908,Extra Dots - Series 1,DOTS,109,3.99,3.99,2020,Ages_6+,NA,NA,Foil pack,NA,6,Retail,Small
11006,Creative Blue Bricks,Classic,52,4.99,4.93,2020,Ages_4+,37,NA,Box,NA,28,Retail,Small
11007,Creative Green Bricks,Classic,60,4.99,4.93,2020,Ages_4+,37,NA,Box,NA,36,Retail,Small
41901,Funky Animals Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,10,Retail,Small
41902,Sparkly Unicorn Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,9,Retail,Small
41903,Cosmic Wonder Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,9,Retail,Small
41911,Go Team! Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,12,Retail,Small
41912,Love Birds Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,10,Retail,Small
41917,Magic Forest Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,9,Retail,Small
41919,Power Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,12,Retail,Small
10917,Fire Truck,DUPLO,6,6.99,6.29,2020,Ages_1½+,3,NA,Box with backing card,0.15Kg (0.33 lb),6,Retail,Large
10918,Tow Truck,DUPLO,7,6.99,6.29,2020,Ages_1½+,3,NA,Box with backing card,NA,7,Retail,Large
41386,Stephanie's Summer Heart Box,Friends,95,7.99,7.71,2019,Ages_6+,40,1,Other,NA,52,Retail,Small
11010,White Baseplate,Classic,1,7.99,7.86,2020,Ages_4+,1,NA,Shrink-wrapped,NA,1,Retail,Small
10883,My First Tow Truck,DUPLO,11,9.99,7.99,2019,Ages_1½+,10,NA,Box,0.26Kg (0.57 lb),10,Retail,Large
10766,Woody & RC,Disney,69,9.99,7.99,2019,Ages_4+,28,1,Box,NA,36,Retail,Small
41388,Mia's Summer Heart Box,Friends,85,7.99,7.99,2019,Ages_6+,36,1,Other,NA,41,Retail,Small
41387,Olivia's Summer Heart Box,Friends,93,7.99,7.99,2019,Ages_6+,40,2,Other,NA,48,Retail,Small
60239,Police Patrol Car,City,92,9.99,8.35,2019,Ages_5+,36,1,Box,0.15Kg (0.33 lb),52,Retail - limited,Small
41452,Prince Puppycorn Trike,Unikitty!,101,9.99,8.95,2018,Ages_5-12,56,3,Box,0.15Kg (0.33 lb),65,Retail,Small
71714,Kai Avatar - Arcade Pod,NINJAGO,49,9.99,8.99,2020,Ages_7+,3,2,Box with backing card,NA,31,Retail,Small
71715,Jay Avatar - Arcade Pod,NINJAGO,47,9.99,8.99,2020,Ages_7+,3,2,Box with backing card,NA,28,Retail,Small
10897,My First Minnie Build,Disney,10,9.99,8.99,2019,Ages_1½+,10,NA,Box,0.25Kg (0.55 lb),9,Retail,Small
10900,Police Bike,DUPLO,8,9.99,8.99,2019,Ages_2+,10,1,Box,0.18Kg (0.4 lb),7,Retail,Large
10927,Pizza Stand,DUPLO,18,9.99,8.99,2020,Ages_2+,12,1,Box,NA,15,Retail,Large
41360,Emma's Mobile Veterinary Clinic,Friends,50,9.99,8.99,2019,Ages_4+,28,1,NA,0.1Kg (0.22 lb),35,NA,Small
60212,Barbecue Burn Out,City,64,9.99,8.99,2019,Ages_4+,28,2,Box,0.13Kg (0.29 lb),45,Retail,Small
60251,Monster Truck,City,55,9.99,8.99,2020,Ages_5+,32,1,Box,0.14Kg (0.31 lb),34,Retail,Small
60206,Jet Patrol,City,54,9.99,8.99,2019,Ages_4+,36,2,Box,0.14Kg (0.32 lb),45,Retail,Small
60219,Construction Loader,City,88,9.99,8.99,2019,Ages_5+,36,1,Box,0.16Kg (0.34 lb),50,Retail,Small
60255,Stunt Team,City,62,9.99,8.99,2020,Ages_5+,36,2,Box,0.1Kg (0.23 lb),34,Retail,Small
71706,Cole's Speeder Car,NINJAGO,52,9.99,8.99,2020,Ages_4+,36,2,Box,NA,32,Retail,Small
41389,Ice Cream Cart,Friends,97,9.99,8.99,2020,Ages_6+,40,1,Box,NA,60,Retail,Small
41396,Puppy Playground,Friends,57,9.99,8.99,2020,Ages_4+,40,1,Box,NA,41,Retail,Small
60241,Police Dog Unit,City,67,9.99,8.99,2020,Ages_4+,40,2,Box,0.12Kg (0.28 lb),48,Retail,Small
75263,Resistance Y-wing Microfighter,Star Wars,86,9.99,8.99,2020,Ages_6+,40,1,Box,NA,44,Retail,Small
60249,Street Sweeper,City,89,9.99,8.99,2020,Ages_5+,48,1,Box,0.14Kg (0.31 lb),55,Retail,Small
60250,Mail Plane,City,74,9.99,8.99,2020,Ages_5+,52,1,Box,0.15Kg (0.33 lb),55,Retail,Small
60224,Satellite Service Mission,City,84,9.99,8.99,2019,Ages_5+,56,1,Box,0.15Kg (0.34 lb),52,Retail,Small
60247,Forest Fire,City,84,9.99,8.99,2020,Ages_5+,56,1,Box,0.13Kg (0.3 lb),49,Retail,Small
71700,Jungle Raider,NINJAGO,127,9.99,8.99,2020,Ages_7+,60,1,Box,NA,61,Retail,Small
41451,Unikitty Cloud Car,Unikitty!,126,9.99,9.17,2018,Ages_5-12,60,3,Box,0.14Kg (0.31 lb),83,Retail,Small
10860,My First Race Car,DUPLO,6,4.99,9.45,2018,Ages_1½-3,9,NA,Box,0.13Kg (0.29 lb),6,Retail,Large
60263,Ocean Mini-Submarine,City,41,9.99,9.49,2020,Ages_4+,37,1,Box,0.13Kg (0.28 lb),30,Retail,Small
41425,Olivia's Flower Garden,Friends,92,9.99,9.49,2020,Ages_6+,48,2,Box,NA,61,Retail,Small
43173,Aurora's Royal Carriage,Disney,62,9.99,9.72,2020,Ages_5+,28,1,Box,NA,35,Retail,Small
71716,Lloyd Avatar - Arcade Pod,NINJAGO,48,9.99,9.84,2020,Ages_7+,3,2,Box with backing card,NA,28,Retail,Small
43170,Moana's Ocean Adventure,Disney,46,9.99,9.84,2020,Ages_6+,36,1,Box,NA,39,Retail,Small
21162,The Taiga Adventure,Minecraft,74,9.99,9.84,2020,Ages_7+,40,2,Box,NA,48,Retail,Small
75264,Kylo Ren's Shuttle Microfighter,Star Wars,72,9.99,9.84,2020,Ages_6+,40,1,Box,NA,40,Retail,Small
76141,Thanos Mech,Marvel,152,9.99,9.84,2020,Ages_6+,56,1,Box,NA,62,Retail,Small
76140,Iron Man Mech,Marvel,148,9.99,9.84,2020,Ages_6+,64,1,Box,NA,61,Retail,Small
76146,Spider-Man Mech,Marvel,152,9.99,9.84,2020,Ages_6+,68,1,Box,NA,62,Retail,Small
31099,Propeller Plane,Creator 3-in-1,128,9.99,9.84,2020,Ages_6+,112,NA,Box,NA,50,Retail,Small
31100,Sports Car,Creator 3-in-1,134,9.99,9.84,2020,Ages_6+,120,NA,Box,NA,60,Retail,Small
76158,Batboat The Penguin Pursuit!,Batman,54,9.99,9.89,2020,Ages_4+,44,2,Box,NA,41,Retail,Small
11001,Bricks and Ideas,Classic,123,9.99,9.97,2019,Ages_4+,42,NA,NA,0.17Kg (0.37 lb),59,NA,Small
76089,Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89,9.99,9.99,2018,Ages_5-12,7,2,Box,NA,49,Retail,Small
10870,Farm Animals,DUPLO,16,9.99,9.99,2018,Ages_2-5,8,NA,Box,NA,13,NA,Large
10898,My First Mickey Build,Disney,9,9.99,9.99,2019,Ages_1½+,10,NA,Box,0.24Kg (0.53 lb),8,Retail,Small
60191,Arctic Exploration Team,City,70,9.99,10,2018,Ages_5-12,28,3,Box,0.12Kg (0.26 lb),47,Retail,Small
21157,BigFig Pig with Baby Zombie,Minecraft,159,14.99,10.99,2020,Ages_7+,40,NA,Box,NA,47,Retail,Small
31087,Dune Buggy,Creator 3-in-1,147,12.99,11.92,2019,Ages_6+,120,NA,Box,0.25Kg (0.55 lb),65,Retail,Small
21156,BigFig Creeper and Ocelot,Minecraft,184,14.99,11.99,2020,Ages_7+,48,NA,Box,NA,65,Retail,Small
31101,Monster Truck,Creator 3-in-1,163,14.99,11.99,2020,Ages_7+,136,NA,Box,NA,54,Retail,Small
60237,Curves & Crossroad,City,2,14.99,11.99,2019,Ages_5+,NA,NA,Shrink-wrapped,0.2Kg (0.44 lb),2,Retail,Small
70822,Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76,9.99,12.5,2019,Ages_5+,36,3,Box,0.08Kg (0.18 lb),50,Retail,Small
41357,Olivia's Heart Box,Friends,85,7.99,12.89,2019,Ages_6+,32,2,NA,0.14Kg (0.31 lb),38,NA,Small
42101,Buggy,Technic,117,12.99,12.93,2020,Ages_7+,48,NA,Box,NA,47,Retail,Small
75891,Chevrolet Camaro ZL1 Race Car,Speed Champions,198,14.99,12.93,2019,Ages_7+,60,1,Box,0.23Kg (0.51 lb),81,Retail,Small
75892,McLaren Senna,Speed Champions,219,14.99,12.93,2019,Ages_7+,64,1,Box,0.25Kg (0.55 lb),92,Retail,Small
31086,Futuristic Flyer,Creator 3-in-1,157,14.99,12.93,2019,Ages_7+,136,NA,Box,0.27Kg (0.59 lb),65,Retail,Small
31088,Deep Sea Creatures,Creator 3-in-1,230,14.99,12.93,2019,Ages_7+,176,NA,Box,0.31Kg (0.68 lb),83,Retail,Small
41607,Gamora,BrickHeadz,136,9.99,12.98,2018,Ages_10+,48,NA,Box,NA,51,Retail,Small
42102,Mini CLAAS XERION,Technic,130,12.99,12.99,2020,Ages_7+,56,NA,Box,NA,45,Retail,Small
75895,1974 Porsche 911 Turbo 3.0,Speed Champions,180,14.99,13.29,2019,Ages_7+,80,1,Box,NA,75,Retail,Small
75266,Sith Troopers Battle Pack,Star Wars,105,14.99,13.47,2020,Ages_6+,40,3,Box,NA,51,Retail,Small
75267,Mandalorian Battle Pack,Star Wars,102,14.99,13.47,2020,Ages_6+,44,4,Box,NA,59,Retail,Small
10714,Blue Baseplate,Classic,1,7.99,13.48,2018,Ages_4-99,NA,NA,NA,0.1Kg (0.22 lb),1,Retail,Small
10925,Playroom,DUPLO,17,14.99,13.49,2020,Ages_2+,2,2,Box,NA,16,Retail,Large
60236,Straight & T-Junction,City,2,14.99,13.49,2019,Ages_5+,NA,NA,Shrink-wrapped,0.2Kg (0.44 lb),2,Retail,Small
75246,Death Star Cannon,Star Wars,159,19.99,13.85,2019,Ages_7+,80,2,Box,NA,79,Retail,Small
10401,Rainbow Fun,Classic,85,4.99,14,2018,Ages_5-99,37,NA,Box,NA,42,Retail,Small
41608,Han Solo,Star Wars,141,9.99,14,2018,Ages_10+,44,NA,Box,NA,51,Retail,Small
76094,Mighty Micros: Supergirl vs. Brainiac,NA,80,9.99,14.09,2018,Ages_5-12,7,2,Box,NA,50,Retail,NA
60190,Arctic Ice Glider,City,50,6.99,14.14,2018,Ages_5-12,28,1,Box,0.08Kg (0.17 lb),30,Retail,Small
41169,Olaf,LEGO Frozen 2,122,14.99,14.24,2019,Ages_6+,52,NA,Box,NA,61,Retail,Small
60238,Switch Tracks,City,8,15.99,14.39,2018,Ages_5-12,NA,NA,Box,0.28Kg (0.62 lb),4,Retail,Small
70682,Spinjitzu Slam - Jay,NINJAGO,72,9.99,14.43,2019,Ages_7+,44,1,Box,NA,37,Retail,Small
71372,Cat Mario Power-Up Pack,LEGO Super Mario,11,9.99,14.52,2020,Ages_6+,NA,NA,Box,NA,9,Retail,Small
41385,Emma's Summer Heart Box,Friends,86,7.99,14.67,2019,Ages_6+,36,1,Other,NA,45,Retail,Small
41905,Rainbow Jewellery Stand,DOTS,213,14.99,14.97,2020,Ages_6+,4,NA,Plastic canister,NA,42,Retail,Small
10926,Bedroom,DUPLO,16,14.99,14.99,2020,Ages_2+,2,2,Box,NA,16,Retail,Large
41904,Animal Picture Holders,DOTS,423,14.99,14.99,2020,Ages_6+,4,NA,Plastic canister,NA,54,Retail,Small
41356,Stephanie's Heart Box,Friends,85,7.99,14.99,2019,Ages_6+,32,1,NA,0.13Kg (0.29 lb),36,NA,Small
41384,Andrea's Summer Heart Box,Friends,83,7.99,14.99,2019,Ages_6+,36,1,Other,NA,46,Retail,Small
70645,Cole - Dragon Master,NINJAGO,92,14.99,14.99,2018,Ages_8-14,48,1,Box,NA,54,Retail,Small
70665,The Samurai Mech,NINJAGO,154,14.99,14.99,2019,Ages_7+,48,3,Box,0.16Kg (0.35 lb),71,Retail,Small
70824,Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115,19.99,14.99,2019,Ages_6+,48,4,Box,0.24Kg (0.53 lb),82,Retail,Small
75890,Ferrari F40 Competizione,Speed Champions,198,14.99,14.99,2019,Ages_7+,56,1,Box,0.22Kg (0.48 lb),72,Retail,Small
31092,Helicopter Adventure,Creator 3-in-1,114,9.99,15.04,2019,Ages_6+,92,NA,Box,0.19Kg (0.42 lb),68,Retail,Small
70681,Spinjitzu Slam - Lloyd,NINJAGO,70,9.99,15.28,2019,Ages_7+,44,1,Box,NA,34,Retail,Small
41408,Mia's Play Cube - Cinema,Friends,37,9.99,15.32,2020,Ages_6+,5,1,Box,NA,31,Retail,Small
71370,Fire Mario Power-Up Pack,LEGO Super Mario,11,9.99,15.56,2020,Ages_6+,NA,NA,Box,NA,9,Retail,Small
