estimates,type,sample_id
1.9905553313203108,beta 0 hat,1000
3.04632593029761,beta 1 hat,1000
1.9908183105415649,beta 0 hat,999
3.0459981275219694,beta 1 hat,999
1.9904596314454133,beta 0 hat,998
3.0459005944598947,beta 1 hat,998
1.9905684036049596,beta 0 hat,997
3.0457871097368705,beta 1 hat,997
1.9906521695410448,beta 0 hat,996
3.045783207807335,beta 1 hat,996
1.9904916145964566,beta 0 hat,995
3.045877326101149,beta 1 hat,995
1.9903480199861558,beta 0 hat,994
3.045926017910127,beta 1 hat,994
1.9904882597750944,beta 0 hat,993
3.045937482236917,beta 1 hat,993
1.990670151810648,beta 0 hat,992
3.045834382304663,beta 1 hat,992
1.9907158044797857,beta 0 hat,991
3.0457824217427745,beta 1 hat,991
1.9905861931692082,beta 0 hat,990
3.045485539738743,beta 1 hat,990
1.990576689689026,beta 0 hat,989
3.0455578753112147,beta 1 hat,989
1.990620208040146,beta 0 hat,988
3.0456887226046625,beta 1 hat,988
1.9906711070315228,beta 0 hat,987
3.045921139539719,beta 1 hat,987
1.9903577174386837,beta 0 hat,986
3.0457428759138288,beta 1 hat,986
1.9901607653865303,beta 0 hat,985
3.045853378022483,beta 1 hat,985
1.9902100472867108,beta 0 hat,984
3.0458394572686545,beta 1 hat,984
1.9905113432818677,beta 0 hat,983
3.0460301768910436,beta 1 hat,983
1.9905614868336403,beta 0 hat,982
3.0457422468302577,beta 1 hat,982
1.990786539810983,beta 0 hat,981
3.045900371604832,beta 1 hat,981
1.990929183850793,beta 0 hat,980
3.04610705729799,beta 1 hat,980
1.9911244531426044,beta 0 hat,979
3.0460461627699043,beta 1 hat,979
1.9912788350768833,beta 0 hat,978
3.046206265322914,beta 1 hat,978
1.9913963409890487,beta 0 hat,977
3.0461324291456813,beta 1 hat,977
1.9914680839702592,beta 0 hat,976
3.0461967588864134,beta 1 hat,976
1.9914518198604456,beta 0 hat,975
3.0463689183152183,beta 1 hat,975
1.9915261347297792,beta 0 hat,974
3.0463007512115743,beta 1 hat,974
1.9915125180513862,beta 0 hat,973
3.0462171354369842,beta 1 hat,973
1.9914483996102297,beta 0 hat,972
3.0463633368007255,beta 1 hat,972
1.9917626444512795,beta 0 hat,971
3.046157743626024,beta 1 hat,971
1.9917535868030967,beta 0 hat,970
3.0462556964194656,beta 1 hat,970
1.9915948097611964,beta 0 hat,969
3.046443113811643,beta 1 hat,969
1.9911025205516333,beta 0 hat,968
3.0461911593945232,beta 1 hat,968
1.9915456673242218,beta 0 hat,967
3.046177869539964,beta 1 hat,967
1.991398121166443,beta 0 hat,966
3.0462705588535024,beta 1 hat,966
1.9913410404006109,beta 0 hat,965
3.0461923979479897,beta 1 hat,965
1.991365336589028,beta 0 hat,964
3.0461399517817602,beta 1 hat,964
1.9916644550827967,beta 0 hat,963
3.0459652557505827,beta 1 hat,963
1.991904128919367,beta 0 hat,962
3.046120607201467,beta 1 hat,962
1.9917021336942298,beta 0 hat,961
3.0460155716397765,beta 1 hat,961
1.9918885335236811,beta 0 hat,960
3.0460932252453308,beta 1 hat,960
1.992053047392624,beta 0 hat,959
3.046083632027397,beta 1 hat,959
1.992177171504113,beta 0 hat,958
3.046190779609906,beta 1 hat,958
1.992361270679441,beta 0 hat,957
3.0460536622903196,beta 1 hat,957
1.9925843957673925,beta 0 hat,956
3.046278992069119,beta 1 hat,956
1.9920909226304582,beta 0 hat,955
3.0462753137137075,beta 1 hat,955
1.9916635938719671,beta 0 hat,954
3.045830776787175,beta 1 hat,954
1.9918191275763673,beta 0 hat,953
3.045581075875458,beta 1 hat,953
1.9917567829723204,beta 0 hat,952
3.0455480293021147,beta 1 hat,952
1.99189060333508,beta 0 hat,951
3.0456187375632955,beta 1 hat,951
1.9917055567217112,beta 0 hat,950
3.045483435136423,beta 1 hat,950
1.9917882491541057,beta 0 hat,949
3.045571108446507,beta 1 hat,949
1.991678137948956,beta 0 hat,948
3.0457695648957497,beta 1 hat,948
1.9917592211308484,beta 0 hat,947
3.0453457269501056,beta 1 hat,947
1.9919347706997839,beta 0 hat,946
3.0455318806393348,beta 1 hat,946
1.9922043025927876,beta 0 hat,945
3.0454917715745595,beta 1 hat,945
1.9922656041989215,beta 0 hat,944
3.045318763930035,beta 1 hat,944
1.9923877737422966,beta 0 hat,943
3.0452957781853107,beta 1 hat,943
1.992097471326425,beta 0 hat,942
3.0452346935482963,beta 1 hat,942
1.9922405263620124,beta 0 hat,941
3.0457511512742155,beta 1 hat,941
1.9922822923091548,beta 0 hat,940
3.0458076411200596,beta 1 hat,940
1.9923479529607506,beta 0 hat,939
3.0459214894956297,beta 1 hat,939
1.9925367421096665,beta 0 hat,938
3.0459184117469262,beta 1 hat,938
1.9928728396301114,beta 0 hat,937
3.0459280954657415,beta 1 hat,937
1.9931630464781802,beta 0 hat,936
3.0459372087273247,beta 1 hat,936
1.9933580615648805,beta 0 hat,935
3.0460887394547997,beta 1 hat,935
1.9932673283875113,beta 0 hat,934
3.0463986289886837,beta 1 hat,934
1.9930735805339987,beta 0 hat,933
3.0464422473891397,beta 1 hat,933
1.9928500177652093,beta 0 hat,932
3.045942015192985,beta 1 hat,932
1.9929273503503593,beta 0 hat,931
3.0461475314260835,beta 1 hat,931
1.9929235516222819,beta 0 hat,930
3.046063754997215,beta 1 hat,930
1.9926730158003159,beta 0 hat,929
3.0464053931104647,beta 1 hat,929
1.9929027959648717,beta 0 hat,928
3.0467439508256695,beta 1 hat,928
1.992941920280249,beta 0 hat,927
3.0467200802449166,beta 1 hat,927
1.9926051076466758,beta 0 hat,926
3.046515011208302,beta 1 hat,926
1.9925472560151152,beta 0 hat,925
3.0465998829828385,beta 1 hat,925
1.9925313248897292,beta 0 hat,924
3.046654695067079,beta 1 hat,924
1.9925524344377474,beta 0 hat,923
3.046609229645849,beta 1 hat,923
1.9923534799770046,beta 0 hat,922
3.0464524344958654,beta 1 hat,922
1.9922090501119958,beta 0 hat,921
3.0466776917139797,beta 1 hat,921
1.9919974964613838,beta 0 hat,920
3.046875180273044,beta 1 hat,920
1.9917902273494525,beta 0 hat,919
3.046866839300179,beta 1 hat,919
1.9922461591412233,beta 0 hat,918
3.0468442973910372,beta 1 hat,918
1.9921158319854835,beta 0 hat,917
3.0469206035589442,beta 1 hat,917
1.992074676690585,beta 0 hat,916
3.046986242255578,beta 1 hat,916
1.9922299085118127,beta 0 hat,915
3.04695658358319,beta 1 hat,915
1.9923018026557364,beta 0 hat,914
3.046694371821226,beta 1 hat,914
1.992161304353662,beta 0 hat,913
3.0465886997760734,beta 1 hat,913
1.9920551106601512,beta 0 hat,912
